"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"534",10461,34,25,1,35,26,2022-04-26
"535",11510,37,24,2,39,26,2022-04-26
"536",16066,35,24,2,37,26,2022-04-26
"537",15530,33,24,2,35,26,2022-04-26
"538",19003,41,21,5,46,26,2022-04-26
"539",19139,47,24,2,49,26,2022-04-26
"540",19148,42,25,1,43,26,2022-04-26
"541",19111,49,25,1,50,26,2022-04-26
"542",23518,36,19,7,43,26,2022-04-26
"543",33040,53,24,2,55,26,2022-04-26
"544",33186,36,25,1,37,26,2022-04-26
"545",44122,41,22,4,45,26,2022-04-26
"546",96734,37,25,1,38,26,2022-04-26
"547",10036,52,23,2,54,25,2022-04-26
"548",11210,46,24,1,47,25,2022-04-26
"549",15317,36,24,1,37,25,2022-04-26
"550",18360,30,22,3,33,25,2022-04-26
"551",19473,29,21,4,33,25,2022-04-26
"552",19333,36,23,2,38,25,2022-04-26
"553",20013,42,24,1,43,25,2022-04-26
"554",19438,36,23,2,38,25,2022-04-26
"555",27613,45,22,3,48,25,2022-04-26
"556",28216,36,24,1,37,25,2022-04-26
"557",30127,41,22,3,44,25,2022-04-26
"558",30309,42,23,2,44,25,2022-04-26
"559",32225,36,22,3,39,25,2022-04-26
"560",34119,38,22,3,41,25,2022-04-26
"561",10456,36,23,1,37,24,2022-04-26
"562",10708,35,23,1,36,24,2022-04-26
"563",10550,27,22,2,29,24,2022-04-26
"564",11214,42,23,1,43,24,2022-04-26
"565",11691,30,21,3,33,24,2022-04-26
"566",11435,35,23,1,36,24,2022-04-26
"567",19018,32,20,4,36,24,2022-04-26
"568",17042,32,23,1,33,24,2022-04-26
"569",17837,38,19,5,43,24,2022-04-26
"570",18976,26,23,1,27,24,2022-04-26
"571",22656,30,19,5,35,24,2022-04-26
"572",24450,33,21,3,36,24,2022-04-26
"573",23323,38,22,2,40,24,2022-04-26
"574",23418,30,23,1,31,24,2022-04-26
"575",27610,36,22,2,38,24,2022-04-26
"576",26704,28,19,5,33,24,2022-04-26
"577",28311,33,20,4,37,24,2022-04-26
"578",28078,40,21,3,43,24,2022-04-26
"579",29223,29,20,4,33,24,2022-04-26
"580",29579,36,21,3,39,24,2022-04-26
"581",33139,55,20,4,59,24,2022-04-26
"582",33496,38,22,2,40,24,2022-04-26
"583",34135,43,23,1,44,24,2022-04-26
"584",43201,36,21,3,39,24,2022-04-26
"585",48823,28,21,3,31,24,2022-04-26
"586",60614,45,23,1,46,24,2022-04-26
"587",60616,37,23,1,38,24,2022-04-26
"588",93940,37,21,3,40,24,2022-04-26
"589",15564,25,22,1,26,23,2022-04-26
"590",17104,27,19,4,31,23,2022-04-26
"591",17319,26,20,3,29,23,2022-04-26
