"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"475",21653,76,67,15,91,82,2022-04-26
"476",20757,87,77,4,91,81,2022-04-26
"477",21094,78,74,7,85,81,2022-04-26
"478",20830,78,70,8,86,78,2022-04-26
"479",21282,81,75,3,84,78,2022-04-26
"480",20709,86,71,3,89,74,2022-04-26
"481",20627,79,70,3,82,73,2022-04-26
"482",20898,78,72,1,79,73,2022-04-26
"483",20753,81,71,1,82,72,2022-04-26
"484",20859,80,70,2,82,72,2022-04-26
"485",21675,65,60,11,76,71,2022-04-26
"486",21523,73,61,9,82,70,2022-04-26
"487",20787,77,62,7,84,69,2022-04-26
"488",21031,77,67,2,79,69,2022-04-26
"489",21010,74,63,5,79,68,2022-04-26
"490",20827,71,61,6,77,67,2022-04-26
"491",20884,66,59,8,74,67,2022-04-26
"492",21803,69,63,4,73,67,2022-04-26
"493",20750,76,62,4,80,66,2022-04-26
"494",21233,72,61,4,76,65,2022-04-26
"495",21721,61,58,7,68,65,2022-04-26
"496",20883,70,59,3,73,62,2022-04-26
"497",21626,53,51,11,64,62,2022-04-26
"498",21284,62,54,7,69,61,2022-04-26
"499",21644,62,54,7,69,61,2022-04-26
"500",21810,64,59,1,65,60,2022-04-26
"501",21027,56,54,4,60,58,2022-04-26
"502",20848,55,51,6,61,57,2022-04-26
"503",21862,54,49,8,62,57,2022-04-26
"504",20885,62,51,5,67,56,2022-04-26
"505",20775,67,54,1,68,55,2022-04-26
"506",21916,61,54,1,62,55,2022-04-26
"507",20915,62,51,2,64,53,2022-04-26
"508",21715,56,49,4,60,53,2022-04-26
"509",20717,51,46,5,56,51,2022-04-26
"510",20847,54,47,4,58,51,2022-04-26
"511",20824,55,46,4,59,50,2022-04-26
"512",20738,54,45,4,58,49,2022-04-26
"513",20741,53,44,5,58,49,2022-04-26
"514",21930,53,44,4,57,48,2022-04-26
"515",21251,55,42,4,59,46,2022-04-26
"516",21139,50,44,1,51,45,2022-04-26
"517",20916,50,40,4,54,44,2022-04-26
"518",21020,43,39,4,47,43,2022-04-26
"519",21867,44,42,1,45,43,2022-04-26
"520",21287,44,39,3,47,42,2022-04-26
"521",20731,42,39,1,43,40,2022-04-26
"522",21240,40,35,2,42,37,2022-04-26
"523",21522,31,31,4,35,35,2022-04-26
"524",21150,34,33,1,35,34,2022-04-26
"525",21235,32,30,3,35,33,2022-04-26
"526",21285,35,30,3,38,33,2022-04-26
"527",21062,35,31,2,37,33,2022-04-26
"528",21542,34,31,1,35,32,2022-04-26
"529",20719,31,30,1,32,31,2022-04-26
"530",20857,32,29,2,34,31,2022-04-26
"531",21540,31,28,3,34,31,2022-04-26
"532",20810,25,20,9,34,29,2022-04-26
"533",21505,27,26,3,30,29,2022-04-26
"534",21105,27,25,1,28,26,2022-04-26
"535",20908,31,25,1,32,26,2022-04-26
"536",21902,28,24,2,30,26,2022-04-26
"537",20752,28,23,2,30,25,2022-04-26
"538",20702,24,23,1,25,24,2022-04-26
"539",20726,26,22,2,28,24,2022-04-26
